collision_index,severe_or_fatal,fatal,number_of_casualties,vulnerable_casualties,number_of_vehicles,speed_limit,rural,darkness,adverse_weather,wet_or_icy,junction_present,weekend,road_type_label,light_label,weather_label,surface_label,area_label,longitude,latitude
2023010474009,0,0,2,2,1,30,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.438809,51.521655
2023010474014,0,0,1,1,2,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.154727,51.368559
2023010474023,0,0,1,0,2,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.299055,51.552013
2023010474042,0,0,1,1,2,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.094116,51.483648
2023010474045,0,0,1,0,1,40,0,1,0,0,1,0,Dual carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.010371,51.511259
2023010474059,0,0,1,0,2,20,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.245895,51.41334
2023010474063,0,0,1,1,1,30,0,1,0,0,0,0,Unknown,Darkness - lights lit,Fine no high winds,Dry,Urban,0.074973,51.506785
2023010474096,0,0,1,0,2,20,0,1,0,0,0,0,Single carriageway,Darkness - lighting unknown,Unknown,Unknown,Urban,-0.109163,51.587783
2023010474105,0,0,1,0,2,30,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.217505,51.502819
2023010474124,0,0,1,0,2,20,0,0,0,1,1,0,Dual carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.151982,51.505482
2023010474125,0,0,1,0,2,20,0,1,0,0,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.19078,51.468903
2023010474132,1,0,1,0,2,20,0,0,0,1,0,0,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.391837,51.435136
2023010474135,0,0,1,0,2,20,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.385645,51.465894
2023010474161,0,0,1,0,2,20,0,0,0,1,0,0,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.115536,51.595628
2023010474168,0,0,1,0,2,20,0,0,0,0,1,0,Unknown,Daylight,Fine no high winds,Dry,Urban,-0.06192,51.56596
2023010474202,0,0,1,1,2,30,0,0,1,0,1,1,Unknown,Daylight,Other,Unknown,Urban,0.171959,51.52502
2023010474221,0,0,1,1,2,20,0,0,1,0,1,0,Slip road,Daylight,Other,Dry,Urban,-0.038766,51.549092
